1,Atributo,Descripción,Obligación /Condición,Tipo de dato,Ejemplo
2,Año,Año del dato,Indexado, Texto(TEXT),2022
3,País,Nombre del País en inglés,Indexado, Texto(TEXT),Afghanistan
4,Combustible,Tipo de combustible.,Indexado, Texto(TEXT),Geothermal
5,Continente,Contiente al que pertenece el país.,Indexado, Texto(TEXT),Africa
6,Id_Año,Código obtenido mediante funcion hash aplicada al año de la emisión.,Clave Primaria, Texto(TEXT),e4dd5528f7596dcdf871aa55cfccc53c
7,Id_País,Código obtenido mediante funcion hash aplicada al país de la emisión.,Clave Primaria, Texto(TEXT),f5a7924e621e84c9280a9a27e1bcb7f6
8,Id_Combustible,Código obtenido mediante funcion hash aplicada a la fuente de emisión del CO2.,Indexado, Texto(TEXT),57a34c10edc9db4cc4fbfc06367285f8
9,Id_Continente,Código obtenido mediante funcion hash aplicada al continente emisor del CO2.,Indexado, Texto(TEXT),f5cd262901883dff68d06b215fb0f28e
10,tabla_hecho_gases_normalizados_Id_Año,Código proveniente de  tabla_hecho_gases_normalizados obtenido mediante funcion hash aplicada al año de la emisión.,Clave Foránea , Texto(TEXT),e4dd5528f7596dcdf871aa55cfccc53c
11,sub_energ_normal
12,Atributo,Descripción,Obligación /Condición,Tipo de dato,Ejemplo
13,País,Nombre del País en inglés,Indexado, Texto(TEXT),Afghanistan
14,Código,Código corto alfabético que representar a los países.,Indexado, Texto(TEXT),AFG
15,Año,Año del dato,Indexado, Texto(TEXT),2022
16,Combustibles Fósiles (% Energía Primaria Equivalente),Porcentaje que representan los  combustibles fósiles en la demanda de energía primaria.,Indexado,DOUBLE ,93.87793
17,Renovables (% Energía Primaria Equivalente),Porcentaje que representan los  combustibles de fuente renovable en la demanda de energía primaria.,Indexado,DOUBLE ,6.122062
18,Nuclear (% Energía Primaria Equivalente),Porcentaje que representan los  combustibles de fuente nuclear en la demanda de energía primaria.,Indexado,DOUBLE ,12.36
19,Id_Año,Código obtenido mediante funcion hash aplicada al año de la emisión.,Clave Primaria, Texto(TEXT),e4dd5528f7596dcdf871aa55cfccc53c
20,Id_País,Código obtenido mediante funcion hash aplicada al país de la emisión.,Indexado, Texto(TEXT),f5a7924e621e84c9280a9a27e1bcb7f6
21,tabla_hecho_Id_Año,Código proveniente de  tabla_hecho  obtenido mediante funcion hash aplicada al año de la emisión.,Clave Foránea , Texto(TEXT),e4dd5528f7596dcdf871aa55cfccc53c
22,tabla_hecho_Id_País,Código proveniente de  tabla_hecho  obtenido mediante funcion hash aplicada al país de la emisión.,Clave Foránea , Texto(TEXT),f5a7924e621e84c9280a9a27e1bcb7f6
23,tabla_hecho_gases_normalizados_Id_Año,Código proveniente de  tabla_hecho_gases_normalizados obtenido mediante funcion hash aplicada al año de la emisión.,Clave Foránea , Texto(TEXT),e4dd5528f7596dcdf871aa55cfccc53c
24,sub_energ_normal
