,Atributo,Descripción,Obligación /Condición,Tipo de dato,Ejemplo,Entidad
0,Año,Año del dato,Indexado, Texto(TEXT),2022,tabla_hecho
1,País,Nombre del País en inglés,Indexado, Texto(TEXT),Afghanistan,tabla_hecho
2,Combustible,Tipo de combustible.,Indexado, Texto(TEXT),Geothermal,tabla_hecho
3,Continente,Contiente al que pertenece el país.,Indexado, Texto(TEXT),Africa,tabla_hecho
4,Id_Año,Código obtenido mediante funcion hash aplicada al año de la emisión.,Clave Primaria, Texto(TEXT),e4dd5528f7596dcdf871aa55cfccc53c,tabla_hecho
5,Id_País,Código obtenido mediante funcion hash aplicada al país de la emisión.,Clave Primaria, Texto(TEXT),f5a7924e621e84c9280a9a27e1bcb7f6,tabla_hecho
6,Id_Combustible,Código obtenido mediante funcion hash aplicada a la fuente de emisión del CO2.,Indexado, Texto(TEXT),57a34c10edc9db4cc4fbfc06367285f8,tabla_hecho
7,Id_Continente,Código obtenido mediante funcion hash aplicada al continente emisor del CO2.,Indexado, Texto(TEXT),f5cd262901883dff68d06b215fb0f28e,tabla_hecho
8,tabla_hecho_gases_normalizados_Id_Año,Código proveniente de  tabla_hecho_gases_normalizados obtenido mediante funcion hash aplicada al año de la emisión.,Clave Foránea , Texto(TEXT),e4dd5528f7596dcdf871aa55cfccc53c,tabla_hecho
9,País,Nombre del País en inglés,Indexado, Texto(TEXT),Afghanistan,sub_energy
10,Código,Código corto alfabético que representar a los países.,Indexado, Texto(TEXT),AFG,sub_energy
11,Año,Año del dato,Indexado, Texto(TEXT),2022,sub_energy
12,Combustibles Fósiles (% Energía Primaria Equivalente),Porcentaje que representan los  combustibles fósiles en la demanda de energía primaria.,Indexado,DOUBLE ,93.87793,sub_energy
13,Renovables (% Energía Primaria Equivalente),Porcentaje que representan los  combustibles de fuente renovable en la demanda de energía primaria.,Indexado,DOUBLE ,6.122062,sub_energy
14,Nuclear (% Energía Primaria Equivalente),Porcentaje que representan los  combustibles de fuente nuclear en la demanda de energía primaria.,Indexado,DOUBLE ,12.36,sub_energy
15,Id_Año,Código obtenido mediante funcion hash aplicada al año de la emisión.,Clave Primaria, Texto(TEXT),e4dd5528f7596dcdf871aa55cfccc53c,sub_energy
16,Id_País,Código obtenido mediante funcion hash aplicada al país de la emisión.,Indexado, Texto(TEXT),f5a7924e621e84c9280a9a27e1bcb7f6,sub_energy
17,tabla_hecho_Id_Año,Código proveniente de  tabla_hecho  obtenido mediante funcion hash aplicada al año de la emisión.,Clave Foránea , Texto(TEXT),e4dd5528f7596dcdf871aa55cfccc53c,sub_energy
