,Pais,Anio,Anomalia De La Temperatura Media Del Promedio De 1961 A 1990,Limite Superior,Limite Inferior,Codigo,Id_Pais,Id_Anio
0,Global,1850,-0.373,-0.339,-0.425,,4cc6684df7b4a92b1dec6fce3264fac8,8c3039bd5842dca3d944faab91447818
1,Global,1851,-0.218,-0.184,-0.274,,4cc6684df7b4a92b1dec6fce3264fac8,ff1418e8cc993fe8abcfe3ce2003e5c5
2,Global,1852,-0.228,-0.196,-0.28,,4cc6684df7b4a92b1dec6fce3264fac8,eb1e78328c46506b46a4ac4a1e378b91
3,Global,1853,-0.269,-0.239,-0.321,,4cc6684df7b4a92b1dec6fce3264fac8,7503cfacd12053d309b6bed5c89de212
4,Global,1854,-0.248,-0.218,-0.301,,4cc6684df7b4a92b1dec6fce3264fac8,49ad23d1ec9fa4bd8d77d02681df5cfa
5,Global,1855,-0.272,-0.241,-0.324,,4cc6684df7b4a92b1dec6fce3264fac8,6ae07dcb33ec3b7c814df797cbda0f87
6,Global,1856,-0.358,-0.327,-0.413,,4cc6684df7b4a92b1dec6fce3264fac8,3c947bc2f7ff007b86a9428b74654de5
7,Global,1857,-0.461,-0.431,-0.512,,4cc6684df7b4a92b1dec6fce3264fac8,a3545bd79d31f9a72d3a78690adf73fc
8,Global,1858,-0.467,-0.435,-0.521,,4cc6684df7b4a92b1dec6fce3264fac8,d7fd118e6f226a71b5f1ffe10efd0a78
9,Global,1859,-0.284,-0.249,-0.34,,4cc6684df7b4a92b1dec6fce3264fac8,537de305e941fccdbba5627e3eefbb24
10,Global,1860,-0.343,-0.31,-0.405,,4cc6684df7b4a92b1dec6fce3264fac8,96c5c28becf18e71190460a9955aa4d8
11,Global,1861,-0.407,-0.356,-0.484,,4cc6684df7b4a92b1dec6fce3264fac8,f9d1152547c0bde01830b7e8bd60024c
12,Global,1862,-0.524,-0.471,-0.597,,4cc6684df7b4a92b1dec6fce3264fac8,4e87337f366f72daa424dae11df0538c
13,Global,1863,-0.278,-0.226,-0.359,,4cc6684df7b4a92b1dec6fce3264fac8,09fb05dd477d4ae6479985ca56c5a12d
14,Global,1864,-0.494,-0.448,-0.564,,4cc6684df7b4a92b1dec6fce3264fac8,d072677d210ac4c03ba046120f0802ec
15,Global,1865,-0.279,-0.232,-0.358,,4cc6684df7b4a92b1dec6fce3264fac8,69d1fc78dbda242c43ad6590368912d4
16,Global,1866,-0.251,-0.197,-0.338,,4cc6684df7b4a92b1dec6fce3264fac8,19de10adbaa1b2ee13f77f679fa1483a
17,Global,1867,-0.321,-0.265,-0.406,,4cc6684df7b4a92b1dec6fce3264fac8,a19acd7d2689207f9047f8cb01357370
18,Global,1868,-0.238,-0.185,-0.326,,4cc6684df7b4a92b1dec6fce3264fac8,c164bbc9d6c72a52c599bbb43d8db8e1
19,Global,1869,-0.262,-0.221,-0.333,,4cc6684df7b4a92b1dec6fce3264fac8,68c694de94e6c110f42e587e8e48d852
20,Global,1870,-0.276,-0.239,-0.34,,4cc6684df7b4a92b1dec6fce3264fac8,d305281faf947ca7acade9ad5c8c818c
21,Global,1871,-0.335,-0.293,-0.404,,4cc6684df7b4a92b1dec6fce3264fac8,fb8feff253bb6c834deb61ec76baa893
22,Global,1872,-0.227,-0.187,-0.29,,4cc6684df7b4a92b1dec6fce3264fac8,2f25f6e326adb93c5787175dda209ab6
23,Global,1873,-0.304,-0.258,-0.364,,4cc6684df7b4a92b1dec6fce3264fac8,d4b2aeb2453bdadaa45cbe9882ffefcf
