,Anio,Poblacion,Biocapacidad Percap,Huella Ecologica Percap,Tierra,Id_Anio
0,1961,30.92,3.15,2.28,0.7238095238095238,f106b7f99d2cb30c3db1c3cc0fde9ccb
1,1962,31.5,3.11,2.3,0.7395498392282958,95f6870ff3dcd442254e334a9033d349
2,1963,32.11,3.05,2.35,0.7704918032786886,c215b446bcdf956d848a8419c1b5a920
3,1964,32.74,3.0,2.4,0.7999999999999999,39dcaf7a053dc372fbc391d4e6b5d693
4,1965,33.4,2.95,2.43,0.823728813559322,d46e1fcf4c07ce4a69ee07e4134bcef1
5,1966,34.08,2.92,2.49,0.8527397260273973,3683af9d6f6c06acee72992f2977f67e
6,1967,34.79,2.87,2.5,0.8710801393728222,a82d922b133be19c1171534e6594f754
7,1968,35.52,2.82,2.55,0.9042553191489362,98c7242894844ecd6ec94af67ac8247d
8,1969,36.26,2.77,2.6,0.9386281588447654,4d8556695c262ab91ff51a943fdd6058
9,1970,37.0,2.72,2.7,0.9926470588235294,0004d0b59e19461ff126e3a08a814c33
10,1971,37.76,2.69,2.73,1.0148698884758365,de73998802680548b916f1947ffbad76
11,1972,38.52,2.62,2.75,1.049618320610687,c4de8ced6214345614d33fb0b16a8acd
12,1973,39.28,2.6,2.84,1.0923076923076922,deb54ffb41e085fd7f69a75b6359c989
13,1974,40.04,2.54,2.76,1.0866141732283463,3d863b367aa379f71c7afc0c9cdca41d
14,1975,40.79,2.5,2.7,1.08,7d2b92b6726c241134dae6cd3fb8c182
15,1976,41.55,2.46,2.77,1.1260162601626016,dd055f53a45702fe05e449c30ac80df9
16,1977,42.3,2.42,2.78,1.1487603305785123,4afd521d77158e02aed37e2274b90c9c
17,1978,43.05,2.41,2.8,1.1618257261410787,405e28906322882c5be9b4b27f4c35fd
18,1979,43.81,2.36,2.82,1.194915254237288,798cebccb32617ad94123450fd137104
19,1980,44.58,2.32,2.72,1.1724137931034484,f80bf05527157a8c2a7bb63b22f49aaa
20,1981,45.37,2.3,2.64,1.1478260869565218,b3b4d2dbedc99fe843fd3dedb02f086f
21,1982,46.17,2.28,2.58,1.1315789473684212,fb87582825f9d28a8d42c5e5e5e8b23d
22,1983,47.0,2.23,2.53,1.1345291479820627,1e4d36177d71bbb3558e43af9577d70e
23,1984,47.84,2.23,2.59,1.1614349775784754,1b36ea1c9b7a1c3ad668b8bb5df7963f
24,1985,48.71,2.2,2.58,1.1727272727272726,1f36c15d6a3d18d52e8d493bc8187cb9
25,1986,49.61,2.17,2.58,1.1889400921658988,8c249675aea6c3cbd91661bbae767ff1
26,1987,50.53,2.14,2.6,1.2149532710280373,d68a18275455ae3eaa2c291eebb46e6d
27,1988,51.45,2.08,2.61,1.2548076923076923,9d7311ba459f9e45ed746755a32dcd11
28,1989,52.37,2.07,2.63,1.2705314009661837,4a3e00961a08879c34f91ca0070ea2f5
29,1990,53.27,2.06,2.63,1.2766990291262137,dc513ea4fbdaa7a14786ffdebc4ef64e
30,1991,54.14,2.01,2.57,1.2786069651741294,96055f5b06bf9381ac43879351642cf5
31,1992,54.99,2.01,2.55,1.2686567164179106,d5c186983b52c4551ee00f72316c6eaa
32,1993,55.82,1.97,2.51,1.2741116751269037,c5a4e7e6882845ea7bb4d9462868219b
33,1994,56.63,1.96,2.51,1.280612244897959,008bd5ad93b754d500338c253d9c1770
34,1995,57.44,1.92,2.52,1.3125,3f088ebeda03513be71d34d214291986
35,1996,58.25,1.92,2.54,1.3229166666666667,6351bf9dce654515bf1ddbd6426dfa97
36,1997,59.05,1.9,2.54,1.336842105263158,06964dce9addb1c5cb5d6e3d9838f733
37,1998,59.85,1.89,2.51,1.328042328042328,c5b2cebf15b205503560c4e8e6d1ea78
38,1999,60.64,1.87,2.49,1.3315508021390374,5ec829debe54b19a5f78d9a65b900a39
39,2000,61.43,1.84,2.51,1.3641304347826084,08f90c1a417155361a5c4b8d297e0d78
40,2001,62.23,1.83,2.51,1.3715846994535517,d0fb963ff976f9c37fc81fe03c21ea7b
41,2002,63.02,1.81,2.51,1.3867403314917126,4ba29b9f9e5732ed33761840f4ba6c53
42,2003,63.81,1.79,2.57,1.435754189944134,a591024321c5e2bdbd23ed35f0574dde
43,2004,64.61,1.78,2.66,1.4943820224719102,b8b4b727d6f5d1b61fff7be687f7970f
44,2005,65.42,1.76,2.7,1.5340909090909092,d47268e9db2e9aa3827bba3afb7ff94a
45,2006,66.24,1.74,2.74,1.574712643678161,ea5a486c712a91e48443cd802642223d
46,2007,67.06,1.73,2.78,1.606936416184971,a00e5eb0973d24649a4a920fc53d9564
47,2008,67.89,1.73,2.77,1.6011560693641618,ef8446f35513a8d6aa2308357a268a7e
48,2009,68.73,1.7,2.69,1.5823529411764703,f1981e4bd8a0d6d8462016d2fc6276b3
49,2010,69.57,1.69,2.81,1.6627218934911243,d7a84628c025d30f7b2c52c958767e76
50,2011,70.41,1.68,2.84,1.6904761904761905,c8758b517083196f05ac29810b924aca
51,2012,71.26,1.64,2.78,1.695121951219512,253614bbac999b38b5b60cae531c4969
52,2013,72.11,1.65,2.81,1.7030303030303031,8038da89e49ac5eabb489cfc6cea9fc1
53,2014,72.95,1.64,2.77,1.6890243902439026,cee8d6b7ce52554fd70354e37bbf44a2
54,2015,73.8,1.62,2.73,1.6851851851851851,65d2ea03425887a717c435081cfc5dbb
55,2016,74.64,1.61,2.69,1.670807453416149,95192c98732387165bf8e396c0f2dad2
56,2017,75.48,1.61,2.76,1.714285714285714,8d8818c8e140c64c743113f563cf750f
57,2018,76.31,1.58,2.77,1.7531645569620251,84ddfb34126fc3a48ee38d7044e87276
58,2019,76.74,1.56,2.73,1.75,ea6b2efbdd4255a9f1b3bbc6399b58f4
59,2020,77.56,1.61,2.48,1.5403726708074532,7b7a53e239400a13bd6be6c91c4f6c4e
60,2021,78.51,1.51,2.7,1.7880794701986755,05a5cf06982ba7892ed2a6d38fe832d6
61,2022,79.48,1.52,2.73,1.7960526315789471,3a824154b16ed7dab899bf000b80eeee
