,Pais,Continente,Indice Objetivos De Desarrollo Sostenible,Expectativa De Vida,Indice De Desarrollo Humano,Pib Per Capita,Grupo De Ingresos,Poblacion,Huella De Carbono,Huella Ecologica,Biocapacidad,Tierra,Idpais,Codigo,Id_Pais
0,Afghanistan,Asia,53.9,64.0,0.51,565,Bajos, 37.2 ,0.2,1.2,0.3,0.4,6e9767f4f15357401b148b9a8ced14ef,AFG,6e9767f4f15357401b148b9a8ced14ef
1,Albania,Europe,71.0,78.0,0.79,5.046,Medios-Altos, 2.9 ,1.5,3.3,1.0,1.2,c420ddff824a5c0eec70dd23d62496bc,ALB,c420ddff824a5c0eec70dd23d62496bc
2,Algeria,Africa,70.9,77.0,0.75,4.760,Medios-Altos, 42.2 ,2.5,4.0,0.6,1.5,575b9408b6daa2ddcefbcf6d81c9b4c9,DZA,575b9408b6daa2ddcefbcf6d81c9b4c9
3,Angola,Africa,50.3,61.0,0.58,3.234,Bajos-Medios, 30.8 ,0.4,1.5,1.8,0.5,232bf11cb81bcdb269f76a08fde8b947,AGO,232bf11cb81bcdb269f76a08fde8b947
4,Antigua and Barbuda,North America,,77.0,0.77,15.135,Altos, 0.1 ,0.0,6.6,0.9,2.9,f7e68bf0791888ebcd5bfc62e022aa83,ATG,f7e68bf0791888ebcd5bfc62e022aa83
5,Argentina,South America,72.8,77.0,0.84,10.076,Medios-Altos, 44.4 ,2.6,8.4,6.2,2.1,3536be57ce0713954e454ae6c53ec023,ARG,3536be57ce0713954e454ae6c53ec023
6,Armenia,Asia,71.8,75.0,0.77,4.407,Bajos-Medios, 3.0 ,1.6,3.2,0.6,1.2,a00c273f0f497484093fa94865cf5ca5,ARM,a00c273f0f497484093fa94865cf5ca5
7,Australia,Oceania,75.6,83.0,0.94,57.032,Altos, 24.9 ,10.1,17.9,11.5,4.5,4442e4af0916f53a07fb8ca9a49b98ed,AUS,4442e4af0916f53a07fb8ca9a49b98ed
8,Austria,Europe,82.1,82.0,0.92,49.711,Altos, 8.9 ,6.4,10.7,2.7,3.8,9891739094756d2605946c867b32ad28,AUT,9891739094756d2605946c867b32ad28
9,Azerbaijan,Asia,72.4,73.0,0.75,5.795,Medios-Altos, 9.9 ,2.2,3.9,0.8,1.3,7176f8c3bccfdf02322c73f7a0bc9688,AZE,7176f8c3bccfdf02322c73f7a0bc9688
10,Bahamas,North America,,74.0,0.81,28.846,Altos, 0.4 ,4.8,6.2,9.2,2.7,6dbefdc38954fc54ea0c697d0c6ec0a7,BHS,6dbefdc38954fc54ea0c697d0c6ec0a7
11,Bahrain,Asia,66.1,77.0,0.85,21.478,Altos, 1.6 ,14.1,15.5,0.5,5.2,6ddecd8ccd9f648d19dc02c7a566cb4f,BHR,6ddecd8ccd9f648d19dc02c7a566cb4f
12,Bangladesh,Asia,63.5,72.0,0.63,1.202,Bajos, 161.4 ,0.5,1.5,0.4,0.6,f78a77f631d275aac6a914a17fe1b885,BGD,f78a77f631d275aac6a914a17fe1b885
13,Barbados,North America,68.4,79.0,0.81,16.137,Altos, 0.3 ,4.3,5.9,0.2,2.5,3214c0f21d200a1dae4eb83a53ec2730,BRB,3214c0f21d200a1dae4eb83a53ec2730
14,Belarus,Europe,78.8,74.0,0.82,6.608,Medios-Altos, 9.5 ,4.4,9.5,2.9,2.8,6542f875eaa09a5c550e5f3986400ad9,BLR,6542f875eaa09a5c550e5f3986400ad9
15,Belgium,Europe,82.2,82.0,0.93,46.768,Altos, 11.5 ,7.5,10.5,0.8,4.3,6c1674d14bf5f95742f572cddb0641a7,BEL,6c1674d14bf5f95742f572cddb0641a7
16,Belize,North America,64.4,74.0,0.71,4.217,Medios-Altos, 0.4 ,2.0,14.4,3.5,5.0,20bca6785240fa722edb5c85d055a93d,BLZ,20bca6785240fa722edb5c85d055a93d
17,Benin,Africa,49.9,61.0,0.54,1.211,Bajos, 11.5 ,0.6,2.8,0.9,1.0,9e7002d53d4db7bfad4f5cf419b0c126,BEN,9e7002d53d4db7bfad4f5cf419b0c126
18,Bhutan,Asia,70.0,71.0,0.65,3.129,Bajos-Medios, 0.8 ,2.0,9.4,5.0,3.3,e65a0ed0e39dd14a9e5af441efb09b37,BTN,e65a0ed0e39dd14a9e5af441efb09b37
