,Año,País,Combustible,Id_Año,Id_País,Id_Combustible
0,1959,World,Biomass,7f58c7c32ad0,7f58c6e69af0,7f58c6e665b0
1,1960,Afghanistan,Coal,7f58c7c30170,7f58c6e69ab0,7f58c6e66530
2,1961,Albania,Cogeneration,7f58c7c300b0,7f58c6e69a70,7f58c6e666b0
3,1962,Algeria,Gas,7f58c7c32630,7f58c6e69a30,7f58c6e66470
4,1963,American Samoa,Geothermal,7f58c7c327f0,7f58c6e699f0,7f58c6e66330
5,1964,Angola,Hydro,7f58c7c329d0,7f58c6e699b0,7f58c6e663f0
6,1965,Antarctica,Nuclear,7f58c7c301f0,7f58c6e69970,7f58c6e664b0
7,1966,Antigua and Barbuda,Oil,7f58c7c32b10,7f58c6e7b780,7f58c6e66170
8,1967,Argentina,Other,7f58c7c32950,7f58c6e69930,7f58c6e66070
9,1968,Armenia,Petcoke,7f58c7c300f0,7f58c6e698f0,7f58c6e66030
10,1969,Aruba,Solar,7f58c7c30210,7f58c6e698b0,7f58c6e65ff0
11,1970,Australia,Storage,7f58c7c30250,7f58c6e69870,7f58c6e65fb0
12,1971,Austria,Waste,7f58c7c300d0,7f58c6e69830,7f58c6e65f70
13,1972,Azerbaijan,Wave and Tidal,7f58c7c302d0,7f58c6e697f0,7f58c6e65f30
14,1973,Bahrain,Wind,7f58c7c302b0,7f58c6e697b0,7f58c6e65ef0
15,1974,Bangladesh,all_energy_types,7f58c7c302f0,7f58c6e69770,7f58c6e60cb0
16,1975,Barbados,coal,7f58c7c30310,7f58c6e69730,7f58c6e5e870
17,1976,Belarus,natural_gas,7f58c7c30330,7f58c6e696f0,7f58c6e5e830
18,1977,Belgium,petroleum_n_other_liquids,7f58c7c30350,7f58c6e696b0,7f58c6e60d00
19,1978,Belize,nuclear,7f58c7c30370,7f58c6e69670,7f58c6e5e7f0
20,1979,Benin,renewables_n_other,7f58c7c30390,7f58c6e69630,7f58c6e60d50
21,1980,Bermuda,,7f58c7c303b0,7f58c6e695f0,55a89b681220
22,1981,Bhutan,,7f58c7c303d0,7f58c6e695b0,55a89b681220
23,1982,Bolivia,,7f58c7c303f0,7f58c6e69570,55a89b681220
24,1983,Bosnia and Herzegovina,,7f58c7c30410,7f58c6e7b6e0,55a89b681220
25,1984,Botswana,,7f58c7c30430,7f58c6e69530,55a89b681220
26,1985,Brazil,,7f58c7c30450,7f58c6e694f0,55a89b681220
27,1986,British Virgin Islands,,7f58c7c30470,7f58c6e7b820,55a89b681220
28,1987,Brunei,,7f58c7c30490,7f58c6e694b0,55a89b681220
29,1988,Bulgaria,,7f58c7c304b0,7f58c6e69470,55a89b681220
30,1989,Burkina Faso,,7f58c7c304d0,7f58c6e69430,55a89b681220
31,1990,Burma,,7f58c7c304f0,7f58c6e693f0,55a89b681220
32,1991,Burundi,,7f58c7c30510,7f58c6e693b0,55a89b681220
33,1992,Cabo Verde,,7f58c7c30530,7f58c6e69370,55a89b681220
34,1993,Cambodia,,7f58c7c30550,7f58c6e69330,55a89b681220
35,1994,Cameroon,,7f58c7c30570,7f58c6e692f0,55a89b681220
36,1995,Canada,,7f58c7c30590,7f58c6e692b0,55a89b681220
37,1996,Cayman Islands,,7f58c7c305b0,7f58c6e69270,55a89b681220
38,1997,Central African Republic,,7f58c7c305d0,7f58c6e7b870,55a89b681220
39,1998,Chad,,7f58c7c305f0,7f58c6e69230,55a89b681220
40,1999,Chile,,7f58c7c30610,7f58c6e691f0,55a89b681220
41,2000,China,,7f58c7c30630,7f58c6e691b0,55a89b681220
42,2001,Colombia,,7f58c7c30650,7f58c6e69170,55a89b681220
43,2002,Comoros,,7f58c7c30670,7f58c6e69130,55a89b681220
44,2003,Congo-Brazzaville,,7f58c7c30690,7f58c6e7b8c0,55a89b681220
45,2004,Congo-Kinshasa,,7f58c7c306b0,7f58c6e690f0,55a89b681220
46,2005,Cook Islands,,7f58c7c306d0,7f58c6e690b0,55a89b681220
47,2006,Costa Rica,,7f58c7c306f0,7f58c6e69070,55a89b681220
48,2007,Croatia,,7f58c7c30710,7f58c6e69030,55a89b681220
49,2008,Cuba,,7f58c7c30730,7f58c6e68ff0,55a89b681220
50,2009,Cyprus,,7f58c7c30750,7f58c6e68fb0,55a89b681220
51,2010,Czech Republic,,7f58c7c30770,7f58c6e68f70,55a89b681220
52,2011,CÃ´te dâIvoire,,7f58c7c30790,7f58c6e75050,55a89b681220
53,2012,Denmark,,7f58c7c307b0,7f58c6e68f30,55a89b681220
54,2013,Djibouti,,7f58c7c307d0,7f58c6e68ef0,55a89b681220
55,2014,Dominica,,7f58c7c307f0,7f58c6e68eb0,55a89b681220
56,2015,Dominican Republic,,7f58c7c30810,7f58c6e7b910,55a89b681220
57,2016,Ecuador,,7f58c7c30830,7f58c6e68e70,55a89b681220
58,2017,Egypt,,7f58c7c30850,7f58c6e68e30,55a89b681220
59,2018,El Salvador,,7f58c7c30870,7f58c6e68df0,55a89b681220
60,2019,Equatorial Guinea,,7f58c7c30890,7f58c6e7b960,55a89b681220
61,2020,Eritrea,,7f58c7c308b0,7f58c6e68db0,55a89b681220
62,2021,Estonia,,7f58c7c308d0,7f58c6e68d70,55a89b681220
63,,Eswatini,,55a89b681220,7f58c6e68d30,55a89b681220
64,,Ethiopia,,55a89b681220,7f58c6e68cf0,55a89b681220
65,,Falkland Islands,,55a89b681220,7f58c6e7b9b0,55a89b681220
66,,Faroe Islands,,55a89b681220,7f58c6e68cb0,55a89b681220
67,,Fiji,,55a89b681220,7f58c6e68c70,55a89b681220
68,,Finland,,55a89b681220,7f58c6e68c30,55a89b681220
69,,Former Czechoslovakia,,55a89b681220,7f58c6e7ba00,55a89b681220
70,,Former Serbia and Montenegro,,55a89b681220,7f58c6e7ba50,55a89b681220
71,,Former U.S.S.R.,,55a89b681220,7f58c6e68bf0,55a89b681220
